ageYears,centile3,centile10,centile25,centile50,centile75,centile90,centile97
5.0,102.5,103.4681,105.5426,109,112.1915,114.1064,115
5.5,105.1978,106.2288,108.4381,112.1202,115.485,117.5039,118.446
6.0,107.7731,108.8615,111.1937,115.0807,118.6397,120.7751,121.7716
6.5,110.2428,111.3854,113.8339,117.9147,121.6842,123.9458,125.0013
7.0,112.6239,113.8201,116.3833,120.6553,124.6471,127.0421,128.1598
7.5,114.9334,116.1848,118.8665,123.3359,127.5572,130.0899,131.2719
8.0,117.1882,118.4991,121.3081,125.9897,130.4432,133.1153,134.3623
8.5,119.4053,120.7821,123.7325,128.6497,133.3337,136.1441,137.4556
9.0,121.6017,123.0535,126.1644,131.3493,136.2574,139.2022,140.5765
9.5,123.7943,125.3324,128.6284,134.1217,139.243,142.3158,143.7498
10.0,126,127.6383,131.1489,137,142.3191,145.5106,147
10.5,128.2189,129.9868,133.7751,140.0889,145.5878,148.8871,150.4268
11.0,130.434,132.367,136.5091,143.4127,149.0763,152.4744,154.0602
11.5,132.6367,134.7587,139.3058,146.8843,152.7014,156.1916,157.8204
12.0,134.8188,137.1419,142.1199,150.4165,156.38,159.958,161.6278
12.5,136.9715,139.4961,144.9058,153.9221,160.0288,163.6928,165.4027
13.0,139.0866,141.8013,147.6185,157.3139,163.5646,167.3151,169.0653
13.5,141.1554,144.0372,150.2125,160.5047,166.9044,170.7442,172.5361
14.0,143.1696,146.1838,152.6427,163.4075,169.9648,173.8992,175.7352
14.5,145.1206,148.2206,154.8635,165.935,172.6627,176.6993,178.5831
15.0,147,150.1277,156.8298,168,174.9149,179.0638,181
15.5,148.8101,151.9292,158.613,169.7527,176.8575,181.1204,183.1098
16.0,150.5603,153.6611,160.3057,171.3801,178.664,183.0344,185.0739
16.5,152.2524,155.3202,161.894,172.8504,180.3069,184.7808,186.8686
17.0,153.8885,156.9034,163.364,174.1317,181.7586,186.3348,188.4703
17.5,155.4704,158.4077,164.7019,175.1922,182.9917,187.6714,189.8553
18.0,157,159.8298,165.8936,176,183.9787,188.766,191
