ageYears,centile3,centile10,centile25,centile50,centile75,centile90,centile97
5.0,14,15.3,16.8,18.8,20.8,22.5,24.3
5.5,14.4,15.82,17.52,19.92,22.42,24.65,26.87
6.0,14.8,16.34,18.24,21.04,24.04,26.8,29.44
6.5,15.2,16.86,18.96,22.16,25.66,28.95,32.01
7.0,15.6,17.38,19.68,23.28,27.28,31.1,34.58
7.5,16,17.9,20.4,24.4,28.9,33.25,37.15
8.0,16.4,18.42,21.12,25.52,30.52,35.4,39.72
8.5,16.8,18.94,21.84,26.64,32.14,37.55,42.29
9.0,17.2,19.46,22.56,27.76,33.76,39.7,44.86
9.5,17.6,19.98,23.28,28.88,35.38,41.85,47.43
10.0,18,20.5,24,30,37,44,50
10.5,19.125,21.9375,25.875,32.25,39.625,46.875,53.25
11.0,20.25,23.375,27.75,34.5,42.25,49.75,56.5
11.5,21.375,24.8125,29.625,36.75,44.875,52.625,59.75
12.0,22.5,26.25,31.5,39,47.5,55.5,63
12.5,23.625,27.6875,33.375,41.25,50.125,58.375,66.25
13.0,24.75,29.125,35.25,43.5,52.75,61.25,69.5
13.5,25.875,30.5625,37.125,45.75,55.375,64.125,72.75
14.0,27,32,39,48,58,67,76
14.5,28.625,33.875,41,49.75,59.5,68.375,77.5
15.0,30.25,35.75,43,51.5,61,69.75,79
15.5,31.875,37.625,45,53.25,62.5,71.125,80.5
16.0,33.5,39.5,47,55,64,72.5,82
16.5,35.125,41.375,49,56.75,65.5,73.875,83.5
17.0,36.75,43.25,51,58.5,67,75.25,85
17.5,38.375,45.125,53,60.25,68.5,76.625,86.5
18.0,40,47,55,62,70,78,88
