ageYears,centile3,centile10,centile25,centile50,centile75,centile90,centile97
5.0,100.5,101.4681,103.5426,107,110.7234,112.9574,114
5.5,103.5929,104.5938,106.7385,110.3131,114.1337,116.4261,117.4959
6.0,106.7265,107.7547,109.9581,113.6303,117.5232,119.8589,120.9489
6.5,109.8736,110.9249,113.1777,116.9324,120.8781,123.2456,124.3504
7.0,113.007,114.0783,116.3739,120.1999,124.185,126.576,127.6918
7.5,116.0996,117.1889,119.5232,123.4137,127.4301,129.84,130.9646
8.0,119.1243,120.2309,122.6022,126.5544,130.6,133.0274,134.1602
8.5,122.0538,123.1781,125.5873,129.6027,133.6812,136.1282,137.2702
9.0,124.861,126.0046,128.4551,132.5393,136.6598,139.1321,140.2858
9.5,127.5188,128.6844,131.182,135.3448,139.5224,142.0289,143.1986
10.0,130,131.1915,133.7447,138,142.2553,144.8085,146
10.5,132.4045,133.6297,136.2552,140.6309,144.9885,147.603,148.8231
11.0,134.8241,136.0916,138.8076,143.3344,147.8138,150.5015,151.7557
11.5,137.2194,138.5342,141.3517,146.0474,150.6613,153.4297,154.7216
12.0,139.5511,140.9147,143.8367,148.7067,153.4608,156.3133,157.6444
12.5,141.7798,143.1901,146.2123,151.2492,156.142,159.0776,160.4476
13.0,143.8661,145.3176,148.4279,153.6118,158.6348,161.6487,163.0551
13.5,145.7706,147.2541,150.4331,155.7313,160.8691,163.9518,165.3904
14.0,147.454,148.9569,152.1773,157.5446,162.7747,165.9128,167.3772
14.5,148.8769,150.3829,153.61,158.9885,164.2814,167.4572,168.9392
15.0,150,151.4894,154.6809,160,165.3191,168.5106,170
15.5,150.9398,152.4024,155.5364,160.7599,166.0829,169.2768,170.7672
16.0,151.8163,153.2535,156.3331,161.4659,166.79,169.9845,171.4753
16.5,152.595,154.0077,157.0351,162.0806,167.404,170.598,172.0886
17.0,153.2415,154.6303,157.6063,162.5663,167.8879,171.0809,172.571
17.5,153.7213,155.0862,158.0108,162.8853,168.2052,171.3972,172.8868
18.0,154,155.3404,158.2128,163,168.3191,171.5106,173
