ageMonths,centile3,centile10,centile25,centile50,centile75,centile90,centile97
0,47.5,47.8723,48.6702,50,51.5957,52.5532,53
1,50.0672,50.4426,51.2471,52.588,54.2276,55.2114,55.6704
2,52.5683,52.9469,53.7583,55.1106,56.7935,57.8032,58.2744
3,54.9956,55.3777,56.1964,57.561,59.2867,60.3222,60.8054
4,57.3416,57.7274,58.5543,59.9323,61.7008,62.7618,63.257
5,59.5984,59.9885,60.8245,62.2178,64.0289,65.1155,65.6226
6,61.7584,62.1534,62.9998,64.4105,66.2644,67.3767,67.8958
7,63.7844,64.1852,65.0442,66.4758,68.3731,69.5114,70.0426
8,65.6931,66.1007,66.9742,68.4301,70.3713,71.5361,72.0797
9,67.4767,67.8922,68.7826,70.2665,72.2526,73.4443,74.0004
10,69.1275,69.5521,70.4619,71.9782,74.0102,75.2294,75.7984
11,70.6378,71.0728,72.0049,73.5583,75.6375,76.885,77.4671
12,72,72.4468,73.4043,75,77.1277,78.4043,79
13,73.2175,73.6771,74.662,76.3034,78.4813,79.788,80.3977
14,74.3631,74.8355,75.8478,77.5348,79.7634,81.1005,81.7245
15,75.4421,75.9273,76.9667,78.6992,80.9786,82.3463,82.9845
16,76.4597,76.9574,78.024,79.8017,82.1317,83.5297,84.1821
17,77.4208,77.9311,79.0248,80.8474,83.2272,84.6551,85.3215
18,78.3307,78.8536,79.974,81.8414,84.2698,85.7268,86.4068
19,79.1853,79.7206,80.8676,82.7793,85.254,86.7388,87.4317
20,80.0025,80.5501,81.7235,83.6792,86.1976,87.7087,88.4138
21,80.7874,81.3471,82.5468,84.5461,87.1054,88.6409,89.3575
22,81.5451,82.117,83.3425,85.3851,87.9818,89.5399,90.2669
23,82.2809,82.8648,84.1161,86.2014,88.8317,90.4099,91.1463
24,83,83.5957,84.8723,87,89.6596,91.2553,92
25,83.7029,84.3103,85.6118,87.7811,90.4658,92.0767,92.8284
26,84.3925,85.0113,86.3375,88.5477,91.2558,92.8807,93.639
27,85.0692,85.6993,87.0496,89.3002,92.0301,93.668,94.4324
28,85.7332,86.3745,87.7486,90.039,92.789,94.4391,95.2091
29,86.385,87.0372,88.4349,90.7644,93.5333,95.1946,95.9699
30,87.0248,87.6879,89.1089,91.4771,94.2633,95.935,96.7151
31,87.6504,88.3241,89.768,92.1743,94.9763,96.6575,97.442
32,88.265,88.9493,90.4157,92.8597,95.6764,97.3664,98.1551
33,88.8691,89.5638,91.0525,93.5338,96.3641,98.0624,98.8548
34,89.4628,90.1679,91.6788,94.197,97.04,98.7459,99.5419
35,90.0468,90.7621,92.295,94.8496,97.7045,99.4175,100.2169
36,90.6212,91.3467,92.9012,95.4921,98.3582,100.0779,100.8804
37,91.1842,91.9197,93.4959,96.1227,98.9991,100.725,101.5304
38,91.7387,92.4842,94.0817,96.7442,99.6306,101.3623,102.1705
39,92.2849,93.0404,94.6592,97.3571,100.253,101.9905,102.8013
40,92.8234,93.5887,95.2287,97.9619,100.8669,102.61,103.4234
41,93.3543,94.1294,95.7905,98.5589,101.4729,103.2214,104.0373
42,93.878,94.663,96.345,99.1485,102.0714,103.8252,104.6436
43,94.3933,95.1881,96.8912,99.7297,102.6615,104.4205,105.2414
44,94.9025,95.707,97.4311,100.3046,103.2454,105.0099,105.8333
45,95.4058,96.2201,97.9652,100.8736,103.8237,105.5938,106.4198
46,95.9036,96.7277,98.4938,101.4372,104.3969,106.1727,107.0014
47,96.3963,97.2302,99.0174,101.9958,104.9655,106.7474,107.5789
48,96.8841,97.7279,99.5361,102.5498,105.5301,107.3182,108.1527
49,97.3666,98.2203,100.0497,103.0987,106.0903,107.8854,108.723
50,97.8452,98.7089,100.5596,103.6441,106.6479,108.4502,109.2912
51,98.3204,99.1941,101.0662,104.1865,107.2032,109.0133,109.858
52,98.7924,99.6762,101.5699,104.7261,107.7569,109.5753,110.4239
53,99.2617,100.1555,102.071,105.2635,108.3094,110.1368,110.9896
54,99.7285,100.6326,102.5701,105.7991,108.8611,110.6982,111.5556
55,100.1929,101.1074,103.067,106.3331,109.4128,111.2606,112.1229
56,100.6559,101.5809,103.5629,106.8663,109.9652,111.8245,112.6922
57,101.1177,102.0532,104.058,107.3991,110.5187,112.3905,113.2639
58,101.5788,102.525,104.5527,107.9321,111.0739,112.959,113.8388
59,102.0394,102.9965,105.0474,108.4656,111.6313,113.5308,114.4173
60,102.5,103.4681,105.5426,109,112.1915,114.1064,115
