ageMonths,centile3,centile10,centile25,centile50,centile75,centile90,centile97
0,2.9,3.1,3.3,3.6,4,4.4,4.8
1,3.475,3.725,3.975,4.3167,4.75,5.1833,5.625
2,4.05,4.35,4.65,5.0333,5.5,5.9667,6.45
3,4.625,4.975,5.325,5.75,6.25,6.75,7.275
4,5.2,5.6,6,6.4667,7,7.5333,8.1
5,5.775,6.225,6.675,7.1833,7.75,8.3167,8.925
6,6.35,6.85,7.35,7.9,8.5,9.1,9.75
7,6.925,7.475,8.025,8.6167,9.25,9.8833,10.575
8,7.5,8.1,8.7,9.3333,10,10.6667,11.4
9,8.075,8.725,9.375,10.05,10.75,11.45,12.225
10,8.65,9.35,10.05,10.7667,11.5,12.2333,13.05
11,9.225,9.975,10.725,11.4833,12.25,13.0167,13.875
12,9.8,10.6,11.4,12.2,13,13.8,14.7
13,9.9667,10.7833,11.6,12.425,13.2583,14.0833,15.0167
14,10.1333,10.9667,11.8,12.65,13.5167,14.3667,15.3333
15,10.3,11.15,12,12.875,13.775,14.65,15.65
16,10.4667,11.3333,12.2,13.1,14.0333,14.9333,15.9667
17,10.6333,11.5167,12.4,13.325,14.2917,15.2167,16.2833
18,10.8,11.7,12.6,13.55,14.55,15.5,16.6
19,10.9667,11.8833,12.8,13.775,14.8083,15.7833,16.9167
20,11.1333,12.0667,13,14,15.0667,16.0667,17.2333
21,11.3,12.25,13.2,14.225,15.325,16.35,17.55
22,11.4667,12.4333,13.4,14.45,15.5833,16.6333,17.8667
23,11.6333,12.6167,13.6,14.675,15.8417,16.9167,18.1833
24,11.8,12.8,13.8,14.9,16.1,17.2,18.5
25,11.8611,12.8694,13.8833,15.0083,16.2306,17.3472,18.6611
26,11.9222,12.9389,13.9667,15.1167,16.3611,17.4944,18.8222
27,11.9833,13.0083,14.05,15.225,16.4917,17.6417,18.9833
28,12.0444,13.0778,14.1333,15.3333,16.6222,17.7889,19.1444
29,12.1056,13.1472,14.2167,15.4417,16.7528,17.9361,19.3056
30,12.1667,13.2167,14.3,15.55,16.8833,18.0833,19.4667
31,12.2278,13.2861,14.3833,15.6583,17.0139,18.2306,19.6278
32,12.2889,13.3556,14.4667,15.7667,17.1444,18.3778,19.7889
33,12.35,13.425,14.55,15.875,17.275,18.525,19.95
34,12.4111,13.4944,14.6333,15.9833,17.4056,18.6722,20.1111
35,12.4722,13.5639,14.7167,16.0917,17.5361,18.8194,20.2722
36,12.5333,13.6333,14.8,16.2,17.6667,18.9667,20.4333
37,12.5944,13.7028,14.8833,16.3083,17.7972,19.1139,20.5944
38,12.6556,13.7722,14.9667,16.4167,17.9278,19.2611,20.7556
39,12.7167,13.8417,15.05,16.525,18.0583,19.4083,20.9167
40,12.7778,13.9111,15.1333,16.6333,18.1889,19.5556,21.0778
41,12.8389,13.9806,15.2167,16.7417,18.3194,19.7028,21.2389
42,12.9,14.05,15.3,16.85,18.45,19.85,21.4
43,12.9611,14.1194,15.3833,16.9583,18.5806,19.9972,21.5611
44,13.0222,14.1889,15.4667,17.0667,18.7111,20.1444,21.7222
45,13.0833,14.2583,15.55,17.175,18.8417,20.2917,21.8833
46,13.1444,14.3278,15.6333,17.2833,18.9722,20.4389,22.0444
47,13.2056,14.3972,15.7167,17.3917,19.1028,20.5861,22.2056
48,13.2667,14.4667,15.8,17.5,19.2333,20.7333,22.3667
49,13.3278,14.5361,15.8833,17.6083,19.3639,20.8806,22.5278
50,13.3889,14.6056,15.9667,17.7167,19.4944,21.0278,22.6889
51,13.45,14.675,16.05,17.825,19.625,21.175,22.85
52,13.5111,14.7444,16.1333,17.9333,19.7556,21.3222,23.0111
53,13.5722,14.8139,16.2167,18.0417,19.8861,21.4694,23.1722
54,13.6333,14.8833,16.3,18.15,20.0167,21.6167,23.3333
55,13.6944,14.9528,16.3833,18.2583,20.1472,21.7639,23.4944
56,13.7556,15.0222,16.4667,18.3667,20.2778,21.9111,23.6556
57,13.8167,15.0917,16.55,18.475,20.4083,22.0583,23.8167
58,13.8778,15.1611,16.6333,18.5833,20.5389,22.2056,23.9778
59,13.9389,15.2306,16.7167,18.6917,20.6694,22.3528,24.1389
60,14,15.3,16.8,18.8,20.8,22.5,24.3
