ageMonths,centile3,centile10,centile25,centile50,centile75,centile90,centile97
0,46.5,46.8723,47.6702,49,50.5957,51.5532,52
1,48.9237,49.3205,50.1709,51.588,53.2276,54.2114,54.6704
2,51.2867,51.7073,52.6085,54.1106,55.7935,56.8032,57.2744
3,53.5827,54.0263,54.9768,56.561,58.2867,59.3222,59.8054
4,55.8056,56.2712,57.2692,58.9323,60.7008,61.7618,62.257
5,57.9491,58.4359,59.4791,61.2178,63.0289,64.1155,64.6226
6,60.0071,60.514,61.6002,63.4105,65.2644,66.3767,66.8958
7,61.948,62.4734,63.5994,65.4758,67.3731,68.5114,69.0426
8,63.787,64.3296,65.4923,67.4301,69.3713,70.5361,71.0797
9,65.5179,66.0761,67.2725,69.2665,71.2526,72.4443,73.0004
10,67.1344,67.7069,68.9336,70.9782,73.0102,74.2294,74.7984
11,68.6305,69.2155,70.4691,72.5583,74.6375,75.885,76.4671
12,70,70.5957,71.8723,74,76.1277,77.4043,78
13,71.2463,71.8509,73.1462,75.3052,77.4821,78.7882,79.3977
14,72.4305,73.0427,74.3544,76.5406,78.7661,80.1013,80.7245
15,73.5557,74.1745,75.5005,77.7104,79.9839,81.3479,81.9845
16,74.6249,75.2495,76.5882,78.8193,81.1399,82.5323,83.1821
17,75.6411,76.2711,77.6212,79.8714,82.2385,83.6587,84.3215
18,76.6075,77.2425,78.6032,80.8711,83.2837,84.7313,85.4068
19,77.5167,78.1566,79.5276,81.8128,84.2696,85.7438,86.4317
20,78.3844,79.0292,80.4109,82.7138,85.2138,86.7138,87.4138
21,79.2134,79.8636,81.2567,83.5787,86.1206,87.6457,88.3575
22,80.007,80.663,82.0688,84.4118,86.9943,88.5438,89.2669
23,80.7682,81.4308,82.8508,85.2174,87.8392,89.4122,90.1463
24,81.5,82.1702,83.6064,86,88.6596,90.2553,91
25,82.2035,82.882,84.3361,86.7594,89.4557,91.0735,91.8284
26,82.8888,83.5758,85.0479,87.5014,90.2342,91.8738,92.639
27,83.5567,84.2522,85.7426,88.2266,90.9956,92.657,93.4324
28,84.2077,84.9119,86.4208,88.9356,91.7406,93.4237,94.2091
29,84.8426,85.5555,87.0831,89.6291,92.4699,94.1745,94.9699
30,85.462,86.1837,87.7302,90.3076,93.1839,94.9097,95.7151
31,86.0632,86.7938,88.3593,90.9684,93.8799,95.6268,96.442
32,86.6509,87.3904,88.975,91.6161,94.5624,96.3301,97.1551
33,87.2256,87.9741,89.578,92.251,95.2318,97.0203,97.8548
34,87.788,88.5455,90.1686,92.8738,95.8888,97.6977,98.5419
35,88.3389,89.1054,90.7478,93.4852,96.534,98.3632,99.2169
36,88.8789,89.6544,91.3162,94.0858,97.168,99.0174,99.8804
37,89.4063,90.1909,91.872,94.674,97.7891,99.6581,100.5304
38,89.9247,90.7183,92.4187,95.2529,98.4006,100.2892,101.1705
39,90.4346,91.2372,92.957,95.8234,99.0031,100.911,101.8013
40,90.9368,91.7484,93.4875,96.3858,99.5973,101.5242,102.4234
41,91.4321,92.2525,94.0107,96.941,100.1837,102.1293,103.0373
42,91.9208,92.7502,94.5274,97.4895,100.763,102.727,103.6436
43,92.4028,93.241,95.0371,98.0307,101.3342,103.3164,104.2414
44,92.8803,93.7272,95.542,98.5668,101.9,103.9,104.8333
45,93.3538,94.2094,96.0428,99.0984,102.4608,104.4784,105.4198
46,93.8242,94.6883,96.5401,99.6263,103.0173,105.052,106.0014
47,94.2921,95.1647,97.0346,100.151,103.5701,105.6215,106.5789
48,94.7582,95.6392,97.5269,100.6732,104.1197,106.1877,107.1527
49,95.2231,96.1123,98.0176,101.1932,104.6665,106.7505,107.723
50,95.688,96.5852,98.5079,101.7123,105.2117,107.3114,108.2912
51,96.1536,97.0588,98.9984,102.231,105.756,107.871,108.858
52,96.6205,97.5335,99.4897,102.7502,106.3,108.43,109.4239
53,97.0895,98.01,99.9826,103.2702,106.8444,108.9889,109.9896
54,97.5612,98.4892,100.4777,103.7918,107.3896,109.5482,110.5556
55,98.0374,98.9725,100.9764,104.3164,107.9369,110.1092,111.1229
56,98.5181,99.4603,101.4793,104.8442,108.4868,110.6723,111.6922
57,99.0041,99.9531,101.9866,105.3759,109.0397,111.2381,112.2639
58,99.4959,100.4515,102.4992,105.912,109.5964,111.8071,112.8388
59,99.9943,100.9563,103.0176,106.4532,110.1575,112.3801,113.4173
60,100.5,101.4681,103.5426,107,110.7234,112.9574,114
